checkpoint,tstart,cfg_tar,metric,delta,ci95,p,better,n_better,n
full_r8_a4_lr5e-4_checkpoint_step_2000,200,6.0,clap,-0.0023949842883069596,0.0038034347360275805,0.21966951482681835,higher,53,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,12.0,clap,-0.0006743088993195692,0.00038354849207578165,0.0007978427797082654,higher,46,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,6.0,clap,-0.0012303042916608062,0.000581148592515729,6.45111263989287e-05,higher,44,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,6.0,clap,0.0006379635951734432,0.0012867015213362631,0.33321053600404393,higher,64,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,12.0,clap,0.0008162459964029045,0.0008621080301167112,0.06607447355284429,higher,64,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,150,6.0,clap,-0.0017496315736177117,0.0018048377158091757,0.05995306080830402,higher,46,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,150,12.0,clap,-0.0005682644358687663,0.0036814436604528603,0.7627888044870582,higher,61,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,200,12.0,clap,0.0024310465247271936,0.0028226696824021156,0.09413262025595161,higher,65,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,200,6.0,clap,-0.0018710979262046815,0.002759738362556181,0.18654234246343165,higher,48,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,50,12.0,clap,-0.000827512762260547,0.0005022986947373151,0.0016229407950110178,higher,46,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,50,6.0,clap,-0.0015172113980288116,0.0006810944626394448,2.7970975936518494e-05,higher,41,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,100,6.0,clap,0.0002629749944306344,0.0011740626364068049,0.6614817054491992,higher,59,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,100,12.0,clap,0.0007899509552349452,0.0010955583768457516,0.16030528910524075,higher,61,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,150,6.0,clap,-0.003941146973751905,0.00357608828523711,0.03286008763977449,higher,49,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,150,12.0,clap,0.0012431181317453714,0.0023859464622584645,0.3093252847158747,higher,58,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,200,12.0,clap,0.0020265617243961013,0.003795956910747645,0.2975934232166663,higher,58,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,200,6.0,clap,-0.0023591555063815295,0.0034068498288646427,0.17738301433329856,higher,48,115
